CATEGORYID,PUBLISHTIME,VIEWS,LIKES,DISLIKES,COMMENTCOUNT
22,2017-11-13T17:13:01.000Z,748374,57527,2966,15954
24,2017-11-13T07:30:00.000Z,2418783,97185,6146,12703
23,2017-11-12T19:05:24.000Z,3191434,146033,5339,8181
24,2017-11-13T11:00:04.000Z,343168,10172,666,2146
24,2017-11-12T18:01:41.000Z,2095731,132235,1989,17518
10,2018-05-06T04:00:07.000Z,225211923,5023450,343541,517232
10,2018-04-20T10:40:51.000Z,139334502,1425496,119798,83941
24,2017-12-06T17:58:51.000Z,137843120,3014471,1602383,817582
10,2018-05-18T09:00:02.000Z,123010920,5613827,206892,1228655
10,2018-04-12T16:00:04.000Z,122544931,1427436,40837,55320
10,2018-04-20T04:00:03.000Z,117735467,2906264,117468,232015
